position=16,26,36,46,53,56,60,66 N winning_move=31 frobenius=123 cumulative_states=3003786
position=16,26,36,46,53,56,66,76,86 N winning_move=13 frobenius=123 cumulative_states=3003787
position=16,26,36,46,54,56,63,66,76 N winning_move=103 frobenius=123 cumulative_states=3114532
position=16,26,36,46,56,63,66,70,76 N winning_move=13 frobenius=123 cumulative_states=3114533
position=16,26,28,36,46,66,75 N winning_move=31 frobenius=125 cumulative_states=3128934
position=16,26,36,44,46,56,66,71 P winning_move=none frobenius=125 cumulative_states=3248606
position=16,26,36,46,54,56,65,66,76 N winning_move=13 frobenius=125 cumulative_states=3248607
position=16,26,36,46,56,65,66,70,76 N winning_move=31 frobenius=125 cumulative_states=3249906
position=16,26,28,36,46,66,77 N winning_move=31 frobenius=127 cumulative_states=3255960
position=16,26,36,44,46,56,66,73 N winning_move=67 frobenius=127 cumulative_states=3306293
position=16,26,36,46,54,56,66,67,76 N winning_move=13 frobenius=127 cumulative_states=3306294
position=16,26,36,46,56,57,60,66 N winning_move=45 frobenius=127 cumulative_states=3309823
position=16,26,36,46,56,57,66,76,86 N winning_move=75 frobenius=127 cumulative_states=3417083
position=16,26,36,46,56,66,67,70,76 N winning_move=53 frobenius=127 cumulative_states=3461640
position=16,26,28,36,46,66,79 N winning_move=31 frobenius=129 cumulative_states=3477903
position=16,26,36,44,46,56,66,75 N winning_move=41 frobenius=129 cumulative_states=3510024
position=16,26,36,46,54,56,66,69,76 N winning_move=13 frobenius=129 cumulative_states=3510025
position=16,26,36,46,56,59,60,66 N winning_move=57 frobenius=129 cumulative_states=3522260
position=16,26,36,46,56,59,66,76,86 N winning_move=99 frobenius=129 cumulative_states=3639840
position=16,26,36,46,56,66,69,70,76 N winning_move=50 frobenius=129 cumulative_states=3725579
position=16,26,28,36,46,66,81 N winning_move=35 frobenius=131 cumulative_states=3733254
position=16,26,36,44,46,56,66,77 N winning_move=34 frobenius=131 cumulative_states=3746236
position=16,26,36,46,54,56,66,71,76 N winning_move=13 frobenius=131 cumulative_states=3746237
position=16,26,36,46,56,60,61,66 N winning_move=27 frobenius=131 cumulative_states=3746239
position=16,26,36,46,56,61,66,76,86 N winning_move=23 frobenius=131 cumulative_states=3746240
position=16,26,36,46,56,66,70,71,76 N winning_move=44 frobenius=131 cumulative_states=3748249
position=16,26,36,44,46,56,66,79 N winning_move=65 frobenius=133 cumulative_states=3817866
position=16,26,36,46,54,56,66,73,76 N winning_move=53 frobenius=133 cumulative_states=3870635
position=16,26,36,46,56,60,63,66 N winning_move=107 frobenius=133 cumulative_states=3929798
position=16,26,36,46,56,63,66,76,86 N winning_move=61 frobenius=133 cumulative_states=3938345
position=16,26,36,46,56,66,70,73,76 P winning_move=none frobenius=133 cumulative_states=4092450
position=16,26,28,36,46,66,85 N winning_move=31 frobenius=135 cumulative_states=4112979
position=16,26,36,44,46,56,66,81 N winning_move=59 frobenius=135 cumulative_states=4168724
position=16,26,36,46,54,56,66,75,76 N winning_move=13 frobenius=135 cumulative_states=4168725
position=16,26,36,46,56,60,65,66 N winning_move=55 frobenius=135 cumulative_states=4210642
position=16,26,36,46,56,65,66,76,86 N winning_move=99 frobenius=135 cumulative_states=4296477
position=16,26,28,36,46,66,87 N winning_move=31 frobenius=137 cumulative_states=4317843
position=16,26,36,44,46,56,66,83 N winning_move=101 frobenius=137 cumulative_states=4428991
position=16,26,36,46,54,56,66,76,77 N winning_move=13 frobenius=137 cumulative_states=4428992
position=16,26,36,46,56,60,66,67 N winning_move=61 frobenius=137 cumulative_states=4452778
position=16,26,36,46,56,66,67,76,86 N winning_move=137 frobenius=137 cumulative_states=4505936
position=16,26,28,36,46,66,89 N winning_move=31 frobenius=139 cumulative_states=4516103
position=16,26,36,44,46,56,66,85 N winning_move=73 frobenius=139 cumulative_states=4599456
position=16,26,36,46,54,56,66,76,79 N winning_move=13 frobenius=139 cumulative_states=4599457
position=16,26,36,46,56,60,66,69 N winning_move=83 frobenius=139 cumulative_states=4609769
position=16,26,36,46,56,66,69,76,86 N winning_move=93 frobenius=139 cumulative_states=4628485
position=16,26,36,46,56,66,70,76,79 N winning_move=45 frobenius=139 cumulative_states=4640318
position=16,26,28,36,46,66,91 N winning_move=31 frobenius=141 cumulative_states=4651785
position=16,26,36,46,54,56,66,76,81 N winning_move=13 frobenius=141 cumulative_states=4651786
position=16,26,36,46,56,60,66,71 N winning_move=44 frobenius=141 cumulative_states=4653929
position=16,26,36,46,56,66,70,76,81 N winning_move=119 frobenius=141 cumulative_states=4838296
position=16,26,36,46,56,66,71,76,86 N winning_move=44 frobenius=141 cumulative_states=4838297
position=16,26,28,36,46,66,93 N winning_move=31 frobenius=143 cumulative_states=4846292
position=16,26,36,44,46,56,66,89 N winning_move=39 frobenius=143 cumulative_states=4864989
position=16,26,36,46,54,56,66,76,83 N winning_move=13 frobenius=143 cumulative_states=4864990
position=16,26,36,46,56,60,66,73 N winning_move=95 frobenius=143 cumulative_states=4878476
position=16,26,36,46,56,66,70,76,83 N winning_move=117 frobenius=143 cumulative_states=5010083
position=16,26,36,46,56,66,73,76,86 N winning_move=70 frobenius=143 cumulative_states=5021887
position=16,26,28,36,46,66,95 N winning_move=31 frobenius=145 cumulative_states=5026803
position=16,26,36,44,46,56,66,91 N winning_move=95 frobenius=145 cumulative_states=5090898
position=16,26,36,46,54,56,66,76,85 N winning_move=13 frobenius=145 cumulative_states=5090899
position=16,26,36,46,56,66,70,76,85 N winning_move=40 frobenius=145 cumulative_states=5144805
position=16,26,28,36,46,66,97 N winning_move=31 frobenius=147 cumulative_states=5154002
position=16,26,36,44,46,56,66,93 N winning_move=39 frobenius=147 cumulative_states=5160810
position=16,26,36,46,54,56,66,76,87 N winning_move=13 frobenius=147 cumulative_states=5160815
position=16,26,36,46,56,60,66,77 N winning_move=59 frobenius=147 cumulative_states=5194432
position=16,26,36,46,56,66,70,76,87 N winning_move=67 frobenius=147 cumulative_states=5222099
position=16,26,36,46,56,66,76,77,86 N winning_move=43 frobenius=147 cumulative_states=5223470
position=16,26,36,44,46,56,66,95 N winning_move=87 frobenius=149 cumulative_states=5273558
position=16,26,36,46,54,56,66,76,89 N winning_move=13 frobenius=149 cumulative_states=5273559
position=16,26,36,46,56,60,66,79 N winning_move=25 frobenius=149 cumulative_states=5273561
