16,26,56,62,66,76,235
16,26,56,62,66,76,237
16,26,56,62,66,76,243
16,26,56,62,66,76,245
16,26,56,62,66,76,247
16,26,56,62,66,76,249
16,26,56,62,66,76,251
16,26,56,62,66,76,255
16,26,56,62,66,76,257
16,26,56,62,66,76,259
16,26,56,62,66,76,261
16,26,56,62,66,76,263
16,26,56,62,66,76,265
16,26,56,62,66,76,267
16,26,56,62,66,76,269
16,26,56,62,66,76,271
16,26,56,62,66,76,273
16,26,56,62,66,76,275
16,26,56,62,66,76,277
16,26,56,62,66,76,279
16,26,56,62,66,76,281
16,26,56,62,66,76,283
16,26,56,62,66,76,285
16,26,56,62,66,76,287
16,26,56,62,66,76,289
16,26,56,62,66,76,291
16,26,56,62,66,76,293
16,26,56,62,66,76,295
16,26,56,62,66,76,297
