base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=220574 eparts=447 evaluations=22641268
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=220574 eparts=447
EVALUATIONS count=840000000 sid=94095 m=127 shapes=222867 eparts=447
EVALUATIONS count=850000000 sid=219203 m=105 shapes=222867 eparts=447
EVALUATIONS count=860000000 sid=219743 m=115 shapes=222867 eparts=447
EVALUATIONS count=870000000 sid=181316 m=127 shapes=222867 eparts=447
EVALUATIONS count=880000000 sid=220959 m=127 shapes=222867 eparts=447
EVALUATIONS count=890000000 sid=219472 m=113 shapes=222867 eparts=447
EVALUATIONS count=900000000 sid=212241 m=127 shapes=222867 eparts=447
EVALUATIONS count=910000000 sid=18194 m=121 shapes=222867 eparts=447
EVALUATIONS count=920000000 sid=163164 m=129 shapes=222867 eparts=447
EVALUATIONS count=930000000 sid=196960 m=121 shapes=222867 eparts=447
EVALUATIONS count=940000000 sid=145142 m=127 shapes=222867 eparts=447
EVALUATIONS count=950000000 sid=219470 m=103 shapes=222867 eparts=447
EVALUATIONS count=960000000 sid=175366 m=121 shapes=222867 eparts=447
EVALUATIONS count=970000000 sid=24418 m=127 shapes=222942 eparts=447
EVALUATIONS count=980000000 sid=220893 m=109 shapes=222944 eparts=447
EVALUATIONS count=990000000 sid=219314 m=105 shapes=222976 eparts=447
EVALUATIONS count=1000000000 sid=214392 m=127 shapes=222990 eparts=447
EVALUATIONS count=1010000000 sid=219223 m=115 shapes=222994 eparts=447
EVALUATIONS count=1020000000 sid=25588 m=127 shapes=222994 eparts=447
EVALUATIONS count=1030000000 sid=220893 m=109 shapes=222995 eparts=447
EVALUATIONS count=1040000000 sid=220901 m=115 shapes=222995 eparts=447
EVALUATIONS count=1050000000 sid=188986 m=125 shapes=222997 eparts=447
EVALUATIONS count=1060000000 sid=148212 m=127 shapes=223018 eparts=447
EVALUATIONS count=1070000000 sid=220937 m=127 shapes=223032 eparts=447
EVALUATIONS count=1080000000 sid=220908 m=121 shapes=223032 eparts=447
EVALUATIONS count=1090000000 sid=219221 m=101 shapes=223036 eparts=447
EVALUATIONS count=1100000000 sid=220764 m=115 shapes=223040 eparts=447
EVALUATIONS count=1110000000 sid=24355 m=121 shapes=223053 eparts=447
EVALUATIONS count=1120000000 sid=24390 m=129 shapes=223053 eparts=447
EVALUATIONS count=1130000000 sid=220371 m=111 shapes=223053 eparts=447
EVALUATIONS count=1140000000 sid=195573 m=129 shapes=223053 eparts=447
EVALUATIONS count=1150000000 sid=11995 m=29 shapes=223053 eparts=447
EVALUATIONS count=1160000000 sid=195540 m=127 shapes=223056 eparts=447
EVALUATIONS count=1170000000 sid=219570 m=103 shapes=223059 eparts=447
EVALUATIONS count=1180000000 sid=220984 m=127 shapes=223059 eparts=447
EVALUATIONS count=1190000000 sid=221536 m=121 shapes=223059 eparts=447
EVALUATIONS count=1200000000 sid=93693 m=131 shapes=223059 eparts=447
EVALUATIONS count=1210000000 sid=162238 m=127 shapes=223059 eparts=447
EVALUATIONS count=1220000000 sid=219923 m=121 shapes=223059 eparts=447
EVALUATIONS count=1230000000 sid=219119 m=95 shapes=223059 eparts=447
EVALUATIONS count=1240000000 sid=11995 m=41 shapes=223064 eparts=447
EVALUATIONS count=1250000000 sid=220156 m=107 shapes=223064 eparts=447
EVALUATIONS count=1260000000 sid=220979 m=127 shapes=223064 eparts=447
EVALUATIONS count=1270000000 sid=219985 m=129 shapes=223064 eparts=447
EVALUATIONS count=1280000000 sid=12311 m=127 shapes=223064 eparts=447
EVALUATIONS count=1290000000 sid=219230 m=101 shapes=223064 eparts=447
EVALUATIONS count=1300000000 sid=219177 m=89 shapes=223064 eparts=447
EVALUATIONS count=1310000000 sid=97028 m=121 shapes=223064 eparts=447
EVALUATIONS count=1320000000 sid=181316 m=127 shapes=223066 eparts=447
EVALUATIONS count=1330000000 sid=204 m=127 shapes=223066 eparts=447
EVALUATIONS count=1340000000 sid=11995 m=11 shapes=223066 eparts=447
EVALUATIONS count=1350000000 sid=11997 m=83 shapes=223066 eparts=447
EVALUATIONS count=1360000000 sid=67495 m=127 shapes=223066 eparts=447
EVALUATIONS count=1370000000 sid=219137 m=95 shapes=223066 eparts=447
EVALUATIONS count=1380000000 sid=220941 m=127 shapes=223066 eparts=447
EVALUATIONS count=1390000000 sid=220938 m=127 shapes=223066 eparts=447
EVALUATIONS count=1400000000 sid=220985 m=127 shapes=223066 eparts=447
EVALUATIONS count=1410000000 sid=24374 m=127 shapes=223066 eparts=447
EVALUATIONS count=1420000000 sid=220511 m=101 shapes=223066 eparts=447
EVALUATIONS count=1430000000 sid=219260 m=101 shapes=223066 eparts=447
EVALUATIONS count=1440000000 sid=11995 m=47 shapes=223066 eparts=447
EVALUATIONS count=1450000000 sid=220236 m=111 shapes=223066 eparts=447
EVALUATIONS count=1460000000 sid=219119 m=91 shapes=223095 eparts=447
EVALUATIONS count=1470000000 sid=2577 m=121 shapes=223095 eparts=447
EVALUATIONS count=1480000000 sid=91903 m=127 shapes=223095 eparts=447
EVALUATIONS count=1490000000 sid=220236 m=111 shapes=223095 eparts=447
EVALUATIONS count=1500000000 sid=90855 m=129 shapes=223095 eparts=447
EVALUATIONS count=1510000000 sid=219570 m=103 shapes=223095 eparts=447
EVALUATIONS count=1520000000 sid=220480 m=121 shapes=223095 eparts=447
EVALUATIONS count=1530000000 sid=222022 m=129 shapes=223095 eparts=447
EVALUATIONS count=1540000000 sid=219221 m=101 shapes=223095 eparts=447
EVALUATIONS count=1550000000 sid=203 m=133 shapes=223095 eparts=447
EVALUATIONS count=1560000000 sid=222074 m=121 shapes=223095 eparts=447
EVALUATIONS count=1570000000 sid=67495 m=131 shapes=223095 eparts=447
EVALUATIONS count=1580000000 sid=222105 m=123 shapes=223095 eparts=447
EVALUATIONS count=1590000000 sid=191774 m=129 shapes=223095 eparts=447
EVALUATIONS count=1600000000 sid=221188 m=121 shapes=223095 eparts=447
EVALUATIONS count=1610000000 sid=204 m=127 shapes=223095 eparts=447
EVALUATIONS count=1620000000 sid=220764 m=115 shapes=223095 eparts=447
EVALUATIONS count=1630000000 sid=222018 m=107 shapes=223095 eparts=447
EVALUATIONS count=1640000000 sid=222145 m=121 shapes=223095 eparts=447
EVALUATIONS count=1650000000 sid=219177 m=89 shapes=223095 eparts=447
EVALUATIONS count=1660000000 sid=67495 m=127 shapes=223095 eparts=447
