base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=23970000000 sid=658807 m=329 shapes=1416736 eparts=1055
EVALUATIONS count=23980000000 sid=1395646 m=113 shapes=1418708 eparts=1055
EVALUATIONS count=23990000000 sid=1395646 m=225 shapes=1418708 eparts=1055
SHAPES count=1420000 eparts=1058 scanned_to=407
EVALUATIONS count=24000000000 sid=1351702 m=103 shapes=1421318 eparts=1058
EVALUATIONS count=24010000000 sid=546855 m=33 shapes=1421420 eparts=1058
EVALUATIONS count=24020000000 sid=674268 m=145 shapes=1421420 eparts=1058
EVALUATIONS count=24030000000 sid=571215 m=99 shapes=1421420 eparts=1058
EVALUATIONS count=24040000000 sid=571215 m=155 shapes=1421420 eparts=1058
EVALUATIONS count=24050000000 sid=573927 m=263 shapes=1421420 eparts=1058
EVALUATIONS count=24060000000 sid=1338775 m=173 shapes=1421420 eparts=1058
EVALUATIONS count=24070000000 sid=676281 m=317 shapes=1421420 eparts=1058
EVALUATIONS count=24080000000 sid=575134 m=345 shapes=1421420 eparts=1058
EVALUATIONS count=24090000000 sid=675400 m=353 shapes=1421420 eparts=1058
EVALUATIONS count=24100000000 sid=1338775 m=307 shapes=1421420 eparts=1058
EVALUATIONS count=24110000000 sid=676847 m=57 shapes=1424447 eparts=1061
EVALUATIONS count=24120000000 sid=546557 m=173 shapes=1424447 eparts=1061
EVALUATIONS count=24130000000 sid=1338703 m=155 shapes=1424447 eparts=1061
EVALUATIONS count=24140000000 sid=571136 m=165 shapes=1424447 eparts=1061
EVALUATIONS count=24150000000 sid=545154 m=265 shapes=1424447 eparts=1061
EVALUATIONS count=24160000000 sid=571136 m=237 shapes=1424447 eparts=1061
EVALUATIONS count=24170000000 sid=545322 m=277 shapes=1424447 eparts=1061
EVALUATIONS count=24180000000 sid=1423719 m=357 shapes=1424447 eparts=1061
EVALUATIONS count=24190000000 sid=1421516 m=351 shapes=1424447 eparts=1061
EVALUATIONS count=24200000000 sid=1421420 m=89 shapes=1427293 eparts=1061
EVALUATIONS count=24210000000 sid=1421420 m=167 shapes=1427293 eparts=1061
EVALUATIONS count=24220000000 sid=1421424 m=361 shapes=1427293 eparts=1061
EVALUATIONS count=24230000000 sid=674175 m=87 shapes=1429368 eparts=1062
EVALUATIONS count=24240000000 sid=297147 m=165 shapes=1429368 eparts=1062
EVALUATIONS count=24250000000 sid=297146 m=167 shapes=1429368 eparts=1062
