16,26,61,62,70,98
16,26,61,62,86,98
16,26,61,62,98,102
16,26,61,62,98,118
16,26,62,67,92,98
16,26,62,63,86,98
16,26,62,63,98,102
16,26,62,63,98,118
16,26,62,65,70,98
16,26,62,65,98,118
16,26,62,71,92,98
16,26,62,67,70,98
16,26,62,67,86,98
16,26,62,67,98,102
16,26,62,67,98,118
16,26,62,69,70,98
16,26,62,69,86,98
16,26,62,69,98,102
16,26,62,69,98,118
16,26,61,62,98,108
16,26,61,62,98,134
16,26,62,70,71,98
16,26,62,71,86,98
16,26,62,71,98,102
16,26,62,71,98,118
16,26,62,77,92,98
16,26,62,63,98,108
16,26,62,63,98,134
16,26,62,65,98,108
16,26,62,65,98,134
16,26,62,70,75,98
16,26,62,81,92,98
16,26,62,67,98,108
16,26,62,77,86,98
16,26,62,77,98,102
16,26,62,77,98,118
16,26,62,83,92,98
16,26,62,69,98,108
16,26,62,69,98,134
16,26,62,70,79,98
16,26,62,79,86,98
16,26,62,79,98,102
16,26,62,79,98,118
16,26,62,85,92,98
16,26,62,70,81,98
16,26,62,71,98,108
16,26,62,71,98,134
16,26,62,81,86,98
16,26,62,81,98,102
16,26,62,81,98,118
16,26,62,87,92,98
16,26,62,70,83,98
16,26,62,83,86,98
16,26,62,83,98,102
16,26,62,83,98,118
16,26,62,89,92,98
16,26,62,70,85,98
16,26,62,85,86,98
16,26,62,85,98,102
16,26,62,85,98,118
16,26,62,91,92,98
16,26,62,77,98,108
16,26,62,77,98,134
16,26,62,86,87,98
16,26,62,87,98,102
16,26,62,87,98,118
16,26,62,92,93,98
16,26,62,70,89,98
16,26,62,79,98,108
16,26,62,79,98,134
16,26,62,86,89,98
16,26,62,89,98,102
16,26,62,89,98,118
16,26,62,92,95,98
16,26,62,70,91,98
16,26,62,81,98,108
16,26,62,81,98,134
16,26,62,86,91,98
16,26,62,91,98,102
16,26,62,91,98,118
16,26,62,92,97,98
16,26,62,70,93,98
16,26,62,83,98,108
16,26,62,83,98,134
16,26,62,86,93,98
16,26,62,92,98,99
16,26,62,93,98,102
16,26,62,93,98,118
16,26,62,70,95,98
16,26,62,85,98,108
16,26,62,85,98,134
16,26,62,86,95,98
16,26,62,92,98,101
16,26,62,95,98,102
16,26,62,95,98,118
16,26,62,70,97,98
16,26,62,86,97,98
16,26,62,87,98,108
16,26,62,87,98,134
16,26,62,92,98,103
16,26,62,97,98,102
16,26,62,97,98,118
16,26,62,70,98,99
16,26,62,86,98,99
16,26,62,89,98,108
16,26,62,89,98,134
16,26,62,92,98,105
16,26,62,98,99,102
16,26,62,98,99,118
16,26,62,66,107
16,26,62,86,98,101
16,26,62,91,98,108
16,26,62,91,98,134
16,26,62,92,98,107
16,26,62,98,101,102
16,26,62,98,101,118
16,26,62,66,109
16,26,62,70,98,103
16,26,62,86,98,103
16,26,62,92,98,109
16,26,62,93,98,108
16,26,62,93,98,134
16,26,62,98,102,103
16,26,62,98,103,118
16,26,62,66,111
16,26,62,70,98,105
16,26,62,86,98,105
16,26,62,95,98,108
16,26,62,95,98,134
16,26,62,98,102,105
16,26,62,98,105,118
16,26,62,66,113
16,26,62,70,98,107
16,26,62,86,98,107
16,26,62,92,98,113
16,26,62,97,98,108
16,26,62,97,98,134
16,26,62,98,102,107
16,26,62,98,107,118
16,26,62,66,115
16,26,62,70,98,109
16,26,62,86,98,109
16,26,62,92,98,115
16,26,62,98,99,108
16,26,62,98,99,134
16,26,62,98,102,109
16,26,62,98,109,118
16,26,62,66,117
16,26,62,70,98,111
16,26,62,98,101,108
16,26,62,98,101,134
16,26,62,86,98,113
16,26,62,92,98,119
16,26,62,98,102,113
16,26,62,98,103,108
16,26,62,98,103,134
16,26,62,98,113,118
16,26,62,70,98,115
16,26,62,86,98,115
16,26,62,92,98,121
