16,26,36,46,56,60,66,87
16,26,36,46,56,60,66,89
16,26,36,46,56,60,66,91
16,26,36,46,56,60,66,93
16,26,36,46,56,60,66,97
16,26,36,46,56,60,66,101
16,26,36,46,56,60,66,103
16,26,36,46,56,60,66,105
16,26,36,46,56,60,66,111
16,26,36,46,56,60,66,113
16,26,36,46,56,60,66,115
16,26,36,46,56,60,66,119
16,26,36,46,56,60,66,121
16,26,36,46,56,60,66,123
16,26,36,46,56,60,66,125
16,26,36,46,56,60,66,127
16,26,36,46,56,60,66,129
16,26,36,46,56,60,66,131
16,26,36,46,56,60,66,133
16,26,36,46,56,60,66,135
16,26,36,46,56,60,66,137
16,26,36,46,56,60,66,139
16,26,36,46,56,60,66,141
16,26,36,46,56,60,66,143
16,26,36,46,56,60,66,145
16,26,36,46,56,60,66,147
16,26,36,46,56,60,66,149
16,26,36,46,56,60,66,151
16,26,36,46,56,60,66,153
16,26,36,46,56,60,66,155
16,26,36,46,56,60,66,157
16,26,36,46,56,60,66,159
16,26,36,46,56,60,66,161
16,26,36,46,56,60,66,163
16,26,36,46,56,60,66,165
16,26,36,46,56,60,66,167
16,26,36,46,56,60,66,169
16,26,36,46,56,60,66,171
16,26,36,46,56,60,66,173
16,26,36,46,56,60,66,175
16,26,36,46,56,60,66,177
16,26,36,46,56,60,66,179
16,26,36,46,56,60,66,181
16,26,36,46,56,60,66,183
16,26,36,46,56,60,66,185
16,26,36,46,56,60,66,187
16,26,36,46,56,60,66,189
16,26,36,46,56,60,66,191
16,26,36,46,56,60,66,193
16,26,36,46,56,60,66,195
16,26,36,46,56,60,66,197
16,26,36,46,56,60,66,199
16,26,36,46,56,60,66,201
